step,R1.0,R0.9,R0.8,R0.7,R0.6,R0.5
1.0,0.51,0.51,0.5,0.52,0.51,0.41
2.0,0.66,0.57,0.63,0.55,0.64,0.61
3.0,0.53,0.59,0.63,0.55,0.61,0.56
4.0,0.56,0.56,0.62,0.52,0.7,0.57
5.0,0.6,0.62,0.65,0.65,0.66,0.58
6.0,0.62,0.65,0.65,0.59,0.67,0.56
7.0,0.68,0.71,0.61,0.58,0.71,0.52
8.0,0.54,0.58,0.66,0.57,0.74,0.59
9.0,0.54,0.61,0.61,0.59,0.77,0.57
10.0,0.64,0.6,0.65,0.63,0.75,0.62
11.0,0.6,0.56,0.63,0.63,0.75,0.61
12.0,0.6,0.59,0.64,0.63,0.72,0.61
13.0,0.5,0.63,0.64,0.66,0.71,0.62
14.0,0.64,0.63,0.64,0.65,0.73,0.6
15.0,0.6,0.65,0.67,0.66,0.73,0.61
16.0,0.61,0.65,0.66,0.7,0.73,0.64
17.0,0.63,0.68,0.68,0.66,0.75,0.62
18.0,0.61,0.66,0.67,0.67,0.71,0.61
19.0,0.64,0.62,0.67,0.7,0.73,0.63
20.0,0.65,0.65,0.63,0.66,0.72,0.61
21.0,0.58,0.61,0.67,0.69,0.73,0.64
22.0,0.55,0.68,0.69,0.71,0.75,0.64
23.0,0.54,0.71,0.7,0.68,0.72,0.64
24.0,0.52,0.66,0.71,0.7,0.73,0.62
25.0,0.51,0.65,0.75,0.76,0.75,0.61
26.0,0.52,0.67,0.71,0.73,0.71,0.62
27.0,0.6,0.66,0.72,0.74,0.73,0.64
28.0,0.63,0.66,0.79,0.72,0.7,0.64
29.0,0.6,0.6,0.81,0.71,0.73,0.65
30.0,0.68,0.68,0.8,0.71,0.72,0.63
31.0,0.63,0.7,0.77,0.69,0.71,0.67
32.0,0.65,0.73,0.79,0.69,0.73,0.66
33.0,0.64,0.69,0.8,0.7,0.72,0.66
34.0,0.57,0.68,0.7,0.75,0.74,0.68
35.0,0.57,0.71,0.79,0.72,0.72,0.66
36.0,0.59,0.64,0.73,0.72,0.72,0.66
37.0,0.57,0.69,0.83,0.72,0.74,0.66
38.0,0.5,0.7,0.74,0.74,0.73,0.66
39.0,0.56,0.65,0.79,0.72,0.72,0.66
40.0,0.58,0.66,0.81,0.72,0.72,0.67
41.0,0.64,0.67,0.78,0.72,0.73,0.65
42.0,0.57,0.6,0.75,0.7,0.75,0.67
43.0,0.51,0.68,0.75,0.74,0.74,0.64
44.0,0.48,0.6,0.78,0.72,0.74,0.66
45.0,0.56,0.63,0.72,0.69,0.73,0.64
46.0,0.51,0.61,0.71,0.73,0.73,0.64
47.0,0.59,0.59,0.77,0.71,0.74,0.66
48.0,0.55,0.59,0.78,0.76,0.74,0.68
49.0,0.54,0.64,0.8,0.73,0.73,0.67
50.0,0.65,0.67,0.79,0.72,0.74,0.66
51.0,0.64,0.69,0.74,0.73,0.76,0.65
52.0,0.68,0.69,0.79,0.71,0.77,0.64
53.0,0.65,0.72,0.73,0.77,0.74,0.67
54.0,0.56,0.7,0.74,0.72,0.74,0.66
55.0,0.64,0.62,0.75,0.7,0.72,0.67
56.0,0.58,0.69,0.75,0.68,0.7,0.66
57.0,0.56,0.69,0.74,0.71,0.72,0.66
58.0,0.62,0.68,0.73,0.74,0.72,0.65
59.0,0.54,0.73,0.71,0.77,0.73,0.65
60.0,0.5,0.64,0.77,0.76,0.76,0.66
61.0,0.51,0.68,0.72,0.75,0.73,0.65
62.0,0.53,0.68,0.72,0.77,0.76,0.65
63.0,0.54,0.68,0.72,0.73,0.75,0.64
64.0,0.6,0.72,0.78,0.72,0.73,0.65
65.0,0.58,0.74,0.76,0.76,0.73,0.65
66.0,0.64,0.73,0.78,0.73,0.75,0.66
67.0,0.57,0.72,0.76,0.72,0.74,0.66
68.0,0.55,0.7,0.74,0.75,0.73,0.67
69.0,0.56,0.72,0.77,0.72,0.74,0.67
70.0,0.59,0.73,0.77,0.78,0.73,0.65
71.0,0.56,0.74,0.78,0.74,0.74,0.66
72.0,0.49,0.73,0.72,0.75,0.73,0.65
73.0,0.57,0.68,0.74,0.77,0.75,0.67
74.0,0.56,0.73,0.76,0.75,0.72,0.67
75.0,0.65,0.76,0.78,0.77,0.76,0.66
76.0,0.61,0.71,0.77,0.72,0.75,0.65
77.0,0.58,0.77,0.76,0.71,0.75,0.65
78.0,0.69,0.77,0.73,0.73,0.74,0.66
79.0,0.65,0.77,0.71,0.76,0.74,0.66
80.0,0.61,0.71,0.73,0.76,0.73,0.65
81.0,0.65,0.71,0.68,0.75,0.73,0.66
82.0,0.65,0.71,0.76,0.79,0.72,0.64
83.0,0.64,0.73,0.74,0.74,0.73,0.67
84.0,0.7,0.68,0.73,0.77,0.76,0.66
85.0,0.63,0.67,0.73,0.77,0.75,0.68
86.0,0.68,0.68,0.73,0.71,0.75,0.67
87.0,0.63,0.67,0.71,0.76,0.74,0.66
88.0,0.62,0.7,0.72,0.77,0.72,0.66
89.0,0.61,0.74,0.8,0.77,0.71,0.67
90.0,0.58,0.71,0.74,0.78,0.73,0.67
91.0,0.53,0.79,0.69,0.77,0.71,0.67
92.0,0.56,0.76,0.74,0.79,0.73,0.68
93.0,0.58,0.72,0.73,0.74,0.74,0.65
94.0,0.62,0.74,0.74,0.76,0.73,0.67
95.0,0.59,0.77,0.76,0.75,0.77,0.66
96.0,0.59,0.79,0.76,0.77,0.76,0.7
97.0,0.58,0.76,0.7,0.76,0.79,0.68
98.0,0.57,0.75,0.74,0.76,0.78,0.7
99.0,0.6,0.78,0.7,0.76,0.74,0.67
100.0,0.61,0.78,0.74,0.75,0.74,0.69
101.0,0.61,0.74,0.71,0.73,0.77,0.68
102.0,0.52,0.76,0.68,0.73,0.75,0.68
103.0,0.6,0.77,0.69,0.74,0.75,0.67
104.0,0.64,0.76,0.7,0.74,0.76,0.66
105.0,0.53,0.77,0.77,0.71,0.76,0.66
106.0,0.58,0.75,0.76,0.75,0.78,0.67
107.0,0.59,0.75,0.76,0.73,0.75,0.69
108.0,0.6,0.72,0.73,0.76,0.75,0.68
109.0,0.6,0.75,0.74,0.75,0.76,0.67
110.0,0.64,0.75,0.76,0.77,0.76,0.67
111.0,0.55,0.69,0.73,0.75,0.78,0.68
112.0,0.56,0.72,0.75,0.77,0.77,0.67
113.0,0.61,0.72,0.74,0.72,0.77,0.69
114.0,0.61,0.71,0.76,0.73,0.77,0.69
115.0,0.57,0.69,0.74,0.74,0.78,0.69
116.0,0.58,0.77,0.73,0.72,0.75,0.69
117.0,0.63,0.75,0.78,0.78,0.76,0.68
118.0,0.58,0.77,0.79,0.75,0.73,0.68
119.0,0.73,0.73,0.78,0.75,0.76,0.69
120.0,0.72,0.71,0.81,0.73,0.74,0.67
121.0,0.63,0.72,0.77,0.75,0.77,0.68
122.0,0.67,0.76,0.79,0.75,0.73,0.69
123.0,0.62,0.69,0.82,0.76,0.76,0.67
124.0,0.66,0.72,0.77,0.8,0.76,0.68
125.0,0.68,0.72,0.8,0.74,0.75,0.67
126.0,0.69,0.75,0.79,0.79,0.76,0.69
127.0,0.62,0.74,0.82,0.72,0.78,0.69
128.0,0.66,0.71,0.82,0.77,0.77,0.7
129.0,0.63,0.76,0.85,0.76,0.74,0.68
130.0,0.68,0.76,0.82,0.73,0.77,0.69
131.0,0.6,0.78,0.82,0.75,0.74,0.7
132.0,0.61,0.75,0.81,0.76,0.75,0.72
133.0,0.6,0.75,0.83,0.76,0.73,0.7
134.0,0.66,0.73,0.76,0.76,0.75,0.7
135.0,0.66,0.79,0.82,0.76,0.74,0.7
136.0,0.69,0.75,0.78,0.75,0.74,0.71
137.0,0.67,0.72,0.83,0.77,0.74,0.71
138.0,0.67,0.77,0.82,0.74,0.73,0.69
139.0,0.68,0.74,0.8,0.75,0.74,0.7
140.0,0.7,0.73,0.77,0.76,0.72,0.72
141.0,0.71,0.8,0.79,0.78,0.76,0.71
142.0,0.78,0.74,0.79,0.77,0.74,0.71
143.0,0.75,0.78,0.79,0.74,0.75,0.71
144.0,0.73,0.76,0.8,0.74,0.75,0.7
145.0,0.75,0.75,0.82,0.78,0.75,0.72
146.0,0.75,0.78,0.81,0.72,0.75,0.71
147.0,0.73,0.7,0.75,0.77,0.75,0.72
148.0,0.71,0.76,0.8,0.73,0.75,0.71
149.0,0.73,0.73,0.78,0.75,0.75,0.72
150.0,0.72,0.81,0.82,0.74,0.76,0.72
151.0,0.65,0.75,0.82,0.77,0.76,0.71
152.0,0.68,0.78,0.76,0.75,0.76,0.72
153.0,0.72,0.78,0.79,0.78,0.74,0.7
154.0,0.63,0.73,0.79,0.75,0.77,0.7
155.0,0.62,0.76,0.78,0.79,0.75,0.71
156.0,0.59,0.73,0.8,0.76,0.77,0.71
