step,R1.0,R0.9,R0.8
1.0,0.52,0.52,0.53
2.0,0.49,0.58,0.56
3.0,0.56,0.58,0.65
4.0,0.61,0.67,0.7
5.0,0.62,0.7,0.68
6.0,0.63,0.65,0.6
7.0,0.62,0.63,0.61
8.0,0.64,0.59,0.63
9.0,0.61,0.63,0.68
10.0,0.63,0.57,0.65
11.0,0.62,0.63,0.64
12.0,0.71,0.66,0.64
13.0,0.6,0.69,0.59
14.0,0.6,0.65,0.62
15.0,0.63,0.64,0.66
16.0,0.59,0.65,0.64
17.0,0.6,0.6,0.62
18.0,0.68,0.71,0.57
19.0,0.76,0.67,0.65
20.0,0.63,0.6,0.63
21.0,0.54,0.72,0.63
22.0,0.56,0.71,0.67
23.0,0.65,0.67,0.69
24.0,0.63,0.64,0.69
25.0,0.57,0.59,0.61
26.0,0.59,0.72,0.64
27.0,0.62,0.7,0.69
28.0,0.61,0.66,0.62
29.0,0.62,0.7,0.66
30.0,0.63,0.72,0.72
31.0,0.63,0.69,0.72
32.0,0.56,0.73,0.66
33.0,0.62,0.7,0.72
34.0,0.61,0.64,0.64
35.0,0.67,0.71,0.68
36.0,0.6,0.72,0.69
37.0,0.62,0.72,0.7
38.0,0.64,0.73,0.7
39.0,0.63,0.74,0.69
40.0,0.62,0.74,0.67
41.0,0.63,0.75,0.71
42.0,0.59,0.75,0.7
43.0,0.68,0.73,0.73
44.0,0.6,0.7,0.71
45.0,0.61,0.68,0.72
46.0,0.53,0.69,0.69
47.0,0.58,0.73,0.77
48.0,0.61,0.74,0.69
49.0,0.65,0.71,0.73
50.0,0.59,0.76,0.76
51.0,0.63,0.75,0.72
52.0,0.53,0.74,0.73
53.0,0.55,0.75,0.75
54.0,0.56,0.72,0.79
55.0,0.6,0.76,0.76
56.0,0.56,0.75,0.69
57.0,0.65,0.73,0.7
58.0,0.69,0.72,0.76
59.0,0.63,0.77,0.72
60.0,0.65,0.8,0.77
61.0,0.68,0.81,0.72
62.0,0.69,0.77,0.75
63.0,0.58,0.78,0.73
64.0,0.6,0.72,0.72
65.0,0.63,0.78,0.72
66.0,0.64,0.74,0.75
67.0,0.66,0.77,0.75
68.0,0.68,0.77,0.73
69.0,0.62,0.7,0.69
70.0,0.61,0.73,0.72
71.0,0.67,0.74,0.73
72.0,0.71,0.72,0.73
73.0,0.65,0.73,0.74
74.0,0.67,0.74,0.68
75.0,0.69,0.74,0.7
76.0,0.73,0.77,0.74
77.0,0.62,0.74,0.68
78.0,0.68,0.77,0.79
79.0,0.65,0.76,0.72
80.0,0.6,0.76,0.74
81.0,0.63,0.77,0.7
82.0,0.58,0.8,0.68
83.0,0.66,0.79,0.71
84.0,0.63,0.76,0.7
85.0,0.59,0.81,0.66
86.0,0.61,0.77,0.67
87.0,0.69,0.82,0.7
88.0,0.72,0.75,0.69
89.0,0.65,0.78,0.66
90.0,0.67,0.81,0.62
91.0,0.65,0.82,0.69
92.0,0.64,0.74,0.67
93.0,0.67,0.8,0.66
94.0,0.63,0.73,0.66
95.0,0.62,0.77,0.66
96.0,0.64,0.8,0.68
97.0,0.67,0.72,0.67
98.0,0.58,0.7,0.74
99.0,0.62,0.8,0.69
100.0,0.64,0.77,0.72
101.0,0.64,0.74,0.72
102.0,0.66,0.74,0.62
103.0,0.66,0.79,0.7
104.0,0.65,0.75,0.69
105.0,0.63,0.76,0.72
106.0,0.66,0.78,0.72
107.0,0.65,0.75,0.7
108.0,0.65,0.76,0.72
109.0,0.69,0.78,0.73
110.0,0.68,0.8,0.73
111.0,0.68,0.77,0.7
112.0,0.72,0.77,0.72
113.0,0.65,0.81,0.72
114.0,0.65,0.79,0.76
115.0,0.73,0.79,0.71
116.0,0.69,0.82,0.74
117.0,0.66,0.76,0.71
118.0,0.67,0.8,0.71
119.0,0.68,0.8,0.7
120.0,0.67,0.75,0.73
121.0,0.72,0.76,0.74
122.0,0.67,0.76,0.73
123.0,0.69,0.76,0.73
124.0,0.61,0.78,0.74
125.0,0.67,0.79,0.71
126.0,0.63,0.78,0.72
127.0,0.65,0.72,0.74
128.0,0.68,0.73,0.75
129.0,0.68,0.73,0.73
130.0,0.68,0.77,0.78
131.0,0.7,0.78,0.75
132.0,0.65,0.77,0.78
133.0,0.67,0.73,0.79
134.0,0.65,0.76,0.8
135.0,0.66,0.67,0.79
136.0,0.64,0.76,0.77
137.0,0.67,0.72,0.73
138.0,0.66,0.72,0.76
139.0,0.69,0.69,0.81
140.0,0.73,0.72,0.76
141.0,0.65,0.71,0.76
142.0,0.66,0.77,0.74
143.0,0.65,0.74,0.78
144.0,0.63,0.74,0.76
145.0,0.59,0.73,0.73
146.0,0.63,0.75,0.71
147.0,0.66,0.73,0.72
148.0,0.67,0.73,0.77
149.0,0.68,0.76,0.75
150.0,0.68,0.73,0.76
151.0,0.69,0.75,0.74
152.0,0.63,0.79,0.76
153.0,0.68,0.74,0.74
154.0,0.65,0.8,0.7
155.0,0.61,0.8,0.74
156.0,0.7,0.79,0.73
157.0,0.72,0.78,0.72
158.0,0.67,0.77,0.72
159.0,0.69,0.78,0.73
160.0,0.66,0.81,0.77
161.0,0.65,0.8,0.74
162.0,0.7,0.82,0.73
163.0,0.68,0.81,0.73
164.0,0.7,0.78,0.73
165.0,0.67,0.77,0.74
166.0,0.72,0.78,0.74
167.0,0.72,0.77,0.75
168.0,0.68,0.8,0.72
169.0,0.68,0.85,0.74
170.0,0.73,0.74,0.74
171.0,0.74,0.78,0.76
172.0,0.71,0.79,0.75
173.0,0.7,0.82,0.7
174.0,0.63,0.79,0.75
175.0,0.63,0.8,0.77
176.0,0.68,0.83,0.78
177.0,0.72,0.82,0.77
178.0,0.68,0.8,0.75
179.0,0.71,0.85,0.76
180.0,0.69,0.78,0.78
181.0,0.72,0.85,0.77
182.0,0.75,0.8,0.75
183.0,0.65,0.79,0.75
184.0,0.67,0.8,0.71
185.0,0.67,0.81,0.77
186.0,0.7,0.77,0.76
187.0,0.68,0.77,0.81
188.0,0.7,0.77,0.75
189.0,0.72,0.77,0.79
190.0,0.72,0.81,0.76
191.0,0.79,0.81,0.76
192.0,0.72,0.83,0.79
193.0,0.75,0.78,0.78
194.0,0.67,0.79,0.77
195.0,0.76,0.83,0.79
196.0,0.75,0.83,0.77
197.0,0.74,0.8,0.76
198.0,0.74,0.83,0.73
199.0,0.69,0.81,0.75
200.0,0.67,0.78,0.77
201.0,0.65,0.79,0.74
202.0,0.61,0.79,0.75
203.0,0.68,0.74,0.76
204.0,0.66,0.79,0.77
205.0,0.71,0.79,0.74
206.0,0.72,0.81,0.78
207.0,0.67,0.75,0.78
208.0,0.7,0.78,0.8
209.0,0.7,0.78,0.78
210.0,0.67,0.84,0.74
211.0,0.69,0.76,0.78
212.0,0.73,0.76,0.77
213.0,0.73,0.81,0.79
214.0,0.75,0.76,0.79
215.0,0.75,0.73,0.82
216.0,0.74,0.77,0.8
217.0,0.72,0.8,0.8
218.0,0.75,0.74,0.82
219.0,0.73,0.8,0.72
220.0,0.76,0.76,0.79
221.0,0.74,0.72,0.76
222.0,0.74,0.73,0.76
223.0,0.78,0.76,0.76
224.0,0.76,0.75,0.79
225.0,0.76,0.8,0.75
226.0,0.74,0.74,0.84
227.0,0.74,0.8,0.79
228.0,0.76,0.79,0.79
229.0,0.78,0.78,0.76
230.0,0.76,0.76,0.81
231.0,0.77,0.81,0.8
232.0,0.75,0.79,0.77
233.0,0.77,0.79,0.81
234.0,0.77,0.84,0.8
235.0,0.8,0.77,0.78
236.0,0.75,0.77,0.76
237.0,0.77,0.76,0.78
238.0,0.76,0.78,0.78
239.0,0.81,0.77,0.79
240.0,0.78,0.76,0.79
241.0,0.78,0.78,0.8
242.0,0.81,0.77,0.8
243.0,0.8,0.76,0.8
244.0,0.77,0.76,0.81
245.0,0.77,0.82,0.8
246.0,0.72,0.72,0.81
247.0,0.77,0.76,0.8
248.0,0.76,0.79,0.81
249.0,0.76,0.73,0.78
250.0,0.74,0.76,0.8
251.0,0.76,0.8,0.8
252.0,0.76,0.78,0.81
253.0,0.76,0.79,0.77
254.0,0.73,0.79,0.79
255.0,0.77,0.78,0.8
256.0,0.77,0.76,0.77
257.0,0.81,0.78,0.78
258.0,0.79,0.76,0.74
259.0,0.8,0.8,0.81
260.0,0.74,0.76,0.75
261.0,0.77,0.78,0.76
262.0,0.75,0.74,0.74
263.0,0.77,0.77,0.78
264.0,0.78,0.79,0.76
265.0,0.8,0.75,0.75
266.0,0.76,0.75,0.75
267.0,0.76,0.78,0.76
268.0,0.75,0.76,0.75
269.0,0.79,0.76,0.77
270.0,0.77,0.75,0.79
271.0,0.74,0.72,0.74
272.0,0.72,0.74,0.76
273.0,0.71,0.74,0.75
274.0,0.73,0.77,0.76
275.0,0.73,0.73,0.76
276.0,0.76,0.72,0.73
277.0,0.74,0.71,0.78
278.0,0.71,0.77,0.74
279.0,0.75,0.72,0.77
280.0,0.74,0.74,0.74
281.0,0.71,0.77,0.74
282.0,0.72,0.76,0.78
283.0,0.68,0.74,0.75
284.0,0.74,0.72,0.75
285.0,0.75,0.78,0.76
286.0,0.78,0.72,0.74
287.0,0.79,0.78,0.72
288.0,0.77,0.77,0.76
289.0,0.77,0.76,0.78
290.0,0.77,0.78,0.75
291.0,0.77,0.78,0.72
292.0,0.75,0.77,0.75
293.0,0.76,0.78,0.74
294.0,0.74,0.73,0.75
295.0,0.75,0.78,0.74
296.0,0.73,0.76,0.76
297.0,0.73,0.75,0.76
298.0,0.74,0.76,0.76
299.0,0.74,0.8,0.78
300.0,0.74,0.77,0.74
301.0,0.71,0.78,0.78
302.0,0.71,0.79,0.76
303.0,0.72,0.78,0.79
304.0,0.73,0.75,0.76
305.0,0.73,0.75,0.74
306.0,0.76,0.78,0.74
307.0,0.76,0.77,0.73
308.0,0.74,0.8,0.75
309.0,0.73,0.76,0.77
310.0,0.73,0.8,0.75
311.0,0.73,0.77,0.77
312.0,0.76,0.79,0.75
313.0,0.71,0.76,0.77
314.0,0.72,0.74,0.75
315.0,0.75,0.75,0.75
316.0,0.74,0.74,0.75
317.0,0.73,0.77,0.74
318.0,0.75,0.76,0.76
319.0,0.75,0.75,0.74
320.0,0.75,0.77,0.76
321.0,0.74,0.76,0.78
322.0,0.73,0.76,0.74
323.0,0.74,0.77,0.75
324.0,0.73,0.77,0.74
325.0,0.73,0.8,0.74
326.0,0.74,0.76,0.75
327.0,0.76,0.78,0.76
328.0,0.75,0.79,0.76
329.0,0.74,0.77,0.74
330.0,0.75,0.81,0.78
331.0,0.73,0.81,0.79
332.0,0.74,0.79,0.78
333.0,0.76,0.77,0.77
334.0,0.75,0.84,0.77
335.0,0.78,0.77,0.77
336.0,0.77,0.83,0.77
337.0,0.78,0.81,0.77
338.0,0.77,0.79,0.77
339.0,0.76,0.83,0.78
340.0,0.77,0.81,0.76
341.0,0.79,0.78,0.78
342.0,0.76,0.78,0.75
343.0,0.74,0.78,0.79
344.0,0.76,0.77,0.75
345.0,0.76,0.8,0.76
346.0,0.76,0.8,0.79
347.0,0.74,0.78,0.75
348.0,0.75,0.78,0.77
349.0,0.76,0.79,0.75
350.0,0.75,0.8,0.75
351.0,0.75,0.79,0.76
352.0,0.74,0.77,0.77
353.0,0.76,0.76,0.79
354.0,0.76,0.75,0.77
355.0,0.77,0.78,0.77
356.0,0.74,0.78,0.76
357.0,0.72,0.75,0.79
358.0,0.72,0.74,0.78
359.0,0.72,0.78,0.78
360.0,0.72,0.73,0.76
361.0,0.75,0.78,0.76
362.0,0.73,0.79,0.74
363.0,0.74,0.79,0.79
364.0,0.74,0.75,0.77
365.0,0.75,0.78,0.77
