step,R0.7,R0.6
1.0,0.48,0.56
2.0,0.6,0.71
3.0,0.66,0.63
4.0,0.72,0.64
5.0,0.71,0.67
6.0,0.71,0.67
7.0,0.7,0.7
8.0,0.73,0.71
9.0,0.73,0.73
10.0,0.74,0.72
11.0,0.73,0.72
12.0,0.74,0.71
13.0,0.73,0.72
14.0,0.75,0.71
15.0,0.72,0.73
16.0,0.74,0.72
17.0,0.72,0.72
18.0,0.74,0.72
19.0,0.73,0.72
20.0,0.74,0.72
21.0,0.72,0.72
22.0,0.73,0.72
23.0,0.73,0.73
24.0,0.74,0.71
25.0,0.74,0.73
26.0,0.74,0.71
27.0,0.74,0.72
28.0,0.74,0.72
29.0,0.74,0.73
30.0,0.73,0.72
31.0,0.73,0.73
32.0,0.74,0.71
33.0,0.73,0.73
34.0,0.73,0.71
35.0,0.74,0.73
36.0,0.74,0.72
37.0,0.73,0.72
38.0,0.73,0.71
39.0,0.74,0.72
40.0,0.74,0.71
41.0,0.74,0.73
42.0,0.74,0.72
43.0,0.73,0.72
44.0,0.74,0.71
45.0,0.74,0.72
46.0,0.73,0.71
47.0,0.74,0.72
48.0,0.73,0.72
49.0,0.73,0.73
50.0,0.73,0.71
51.0,0.73,0.73
52.0,0.73,0.71
53.0,0.74,0.73
54.0,0.73,0.72
55.0,0.73,0.72
56.0,0.74,0.72
57.0,0.73,0.72
58.0,0.73,0.71
59.0,0.74,0.72
60.0,0.74,0.72
61.0,0.74,0.73
62.0,0.73,0.71
63.0,0.73,0.72
64.0,0.73,0.72
65.0,0.74,0.72
66.0,0.73,0.71
67.0,0.74,0.72
68.0,0.74,0.72
69.0,0.74,0.72
70.0,0.73,0.72
71.0,0.74,0.73
72.0,0.73,0.72
73.0,0.74,0.73
74.0,0.74,0.72
75.0,0.74,0.73
76.0,0.73,0.72
77.0,0.73,0.72
78.0,0.74,0.71
79.0,0.73,0.72
80.0,0.74,0.72
81.0,0.73,0.73
82.0,0.73,0.72
83.0,0.74,0.72
84.0,0.74,0.71
85.0,0.74,0.72
86.0,0.74,0.72
87.0,0.74,0.72
88.0,0.74,0.71
89.0,0.73,0.73
90.0,0.74,0.71
91.0,0.73,0.72
92.0,0.74,0.71
93.0,0.74,0.72
94.0,0.73,0.72
95.0,0.74,0.72
96.0,0.74,0.71
